[f=0000000] [unitdefs.lua] Error: removed eufblab unitDef, missing model file  (ARMBLAB)
[f=0000000] [unitdefs.lua] Error: removed folsom_dam_fogna unitDef, missing model file  (folsom_dam_fogna.s3o)
[f=0000000] [unitdefs.lua] Error: removed the "corfdoom" entry from the "corack" build menu
[f=0000000] [unitdefs.lua] Error: removed the "corfscreamer" entry from the "corack" build menu
[f=0000000] [unitdefs.lua] Error: removed the "icudecom" entry from the "armalab" build menu
[f=0000000] [unitdefs.lua] Error: removed the "eufblab" entry from the "eufcd" build menu
[f=0000000] [unitdefs.lua] Error: removed the "corfdoom" entry from the "coracv" build menu
[f=0000000] [unitdefs.lua] Error: removed the "corfscreamer" entry from the "coracv" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala001_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala002_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala003_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala004_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala005_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "armspazioporto" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "folsom_dam_fogna" entry from the "wmrtsbuilder" build menu
[f=0000000] [weapondefs.lua] Error: removed fleagoth_missile weaponDef, missing model
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosionart" in "amoebic_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosiongaf" in "amoebic_missile"
[f=0000000] Warning: Could not load sound from def: GeminiRocket1
[f=0000000] Warning: Could not load sound from def: GeminiRocket2
[f=0000000] Warning: Could not load sound from def: GeminiRocket2
[f=0000000] Warning: WeaponDefs: Unknown tag "collidefirebase" in "andach_buildlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "collidefirebase" in "andach_buildlaser2"
[f=0000000] Warning: WeaponDefs: Unknown tag "collidefirebase" in "andacsp_buildlaser"
[f=0000000] Warning: Could not load sound from def: splsmed
[f=0000000] Warning: WeaponDefs: Unknown tag "collidefirebase" in "andch_buildlaser"
[f=0000000] Warning: WeaponDef (andcom_armcomlaser) cylinderTargetting is deprecated and will be removed in the next release (use cylinderTargeting).
[f=0000000] Warning: WeaponDefs: Unknown tag "collidefirebase" in "andcsp_buildlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "andfury_armflak_gun"
[f=0000000] Warning: WeaponDef (andfury_armflak_gun) cylinderTargetting is deprecated and will be removed in the next release (use cylinderTargeting).
[f=0000000] Warning: Could not load sound from def: Orbitlaser
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "andpopaa_arm_antiair"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "arm_advsam"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "arm_advsam"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "arm_advsam"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_advsam"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "arm_advsam"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosionart" in "arm_archgun"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosiongaf" in "arm_archgun"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosionart" in "arm_archgun"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosiongaf" in "arm_archgun"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_archgun"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosionart" in "arm_archgun"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosiongaf" in "arm_archgun"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "arm_artillery"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_artillery"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "arm_bats"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_bats"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "arm_batsaftx"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_batsaftx"
[f=0000000] Warning: WeaponDefs: Unknown tag "aimrate" in "arm_berthacannon"
[f=0000000] Warning: WeaponDefs: Unknown tag "holdtime" in "arm_berthacannon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_berthacannon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_bull"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "arm_cir"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "arm_cir"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "arm_cir"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_cir"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "arm_cir"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "arm_crus"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_crus"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_disintegrator"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosionart" in "arm_exxec"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosiongaf" in "arm_exxec"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosionart" in "arm_exxec"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosiongaf" in "arm_exxec"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosionart" in "arm_exxec"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosiongaf" in "arm_exxec"
[f=0000000] Warning: WeaponDefs: Unknown tag "endsmoke" in "arm_fast"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_fast"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "arm_fatboy_notalaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "shakeduration" in "arm_fatboy_notalaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "shakemagnitude" in "arm_fatboy_notalaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "arm_ham"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_ham"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "arm_kbot_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "arm_kbot_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_kbot_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosionart" in "arm_laserh1"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosiongaf" in "arm_laserh1"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "arm_laserh1"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosionart" in "arm_laserh1"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosiongaf" in "arm_laserh1"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosionart" in "arm_laserh1"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosiongaf" in "arm_laserh1"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_lightcannon"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosionart" in "arm_lightlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosiongaf" in "arm_lightlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "arm_lightlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosionart" in "arm_lightlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosiongaf" in "arm_lightlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosionart" in "arm_lightlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "waterexplosiongaf" in "arm_lightlaser"
[f=0000000] Warning: WeaponDefs: Unknown tag "cruise" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "cruisealt" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "noautorange" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "pitchtolerance" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "shakeduration" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "shakemagnitude" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "soundwater" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "unitsonly" in "arm_pidr"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_pincer_gauss"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "arm_roy"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_roy"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "arm_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "propeller" in "arm_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "arm_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "arm_triton"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaak_aakflak"
[f=0000000] Warning: WeaponDef (armaak_aakflak) cylinderTargetting is deprecated and will be removed in the next release (use cylinderTargeting).
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaak_armaakbot_missile1"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaak_armaakbot_missile2"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaak_bogus_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armaakbot_missile1"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armaakbot_missile1"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armaakbot_missile1"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armaakbot_missile1"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaakbot_missile1"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armaakbot_missile2"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armaakbot_missile2"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armaakbot_missile2"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armaakbot_missile2"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaakbot_missile2"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaas_bogus_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaas_ga2"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armaas_mobileflak"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armair_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "propeller" in "armair_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armair_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armamb_gun"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armamb_gun"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armamb_gun_high"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armamb_gun_high"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armamph_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armamph_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armamph_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armamph_missile"
[f=0000000] Warning: WeaponDef (armcomlaser) cylinderTargetting is deprecated and will be removed in the next release (use cylinderTargeting).
[f=0000000] Warning: WeaponDefs: Unknown tag "endsmoke" in "armdfly_paralyzer"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armdfly_paralyzer"
[f=0000000] Warning: WeaponDefs: Unknown tag "pitchtolerance" in "armdfly_paralyzer"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armdfly_paralyzer"
[f=0000000] Warning: Could not load sound from def: bigion2
[f=0000000] Warning: Could not load sound from def: bigion2
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armfflak_armflak_gun"
[f=0000000] Warning: WeaponDef (armfflak_armflak_gun) cylinderTargetting is deprecated and will be removed in the next release (use cylinderTargeting).
[f=0000000] Warning: Could not load sound from def: splshbig
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armfixed_gun"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armfixed_gun_high"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armflak_armflak_gun"
[f=0000000] Warning: WeaponDef (armflak_armflak_gun) cylinderTargetting is deprecated and will be removed in the next release (use cylinderTargeting).
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armflak_gun"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armflak_gun"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armflak_gun"
[f=0000000] Warning: WeaponDefs: Unknown tag "unitsonly" in "armflak_gun"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armfleaa_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armfleaa_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armfleabowl_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armfmercury_arm_advsam"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armfrl_armrl_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armjeth_armkbot_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armjeth_bogus_missile"
[f=0000000] Warning: Could not load sound from def: splshbig
[f=0000000] Warning: WeaponDefs: Unknown tag "flighttimer" in "armkbot_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armkbot_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armkbot_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armkbot_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armkbot_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armkbot_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armlatnk_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armmav_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armmav_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "soundwater" in "armmech_cannon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armmech_cannon"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armmh_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "noautorange" in "armmh_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armmh_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armmh_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armmh_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "armmh_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armmship_armmship_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "cruise" in "armmship_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armmship_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "noautorange" in "armmship_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armmship_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armmship_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armmship_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "armmship_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armpraetorian_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "pitchtolerance" in "armpraetorian_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armpraetorian_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armrl_armrl_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armrl_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armrl_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armrl_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armrl_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armrl_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armscab_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "noautorange" in "armscab_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armscab_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armscab_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armscab_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "armscab_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armship_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armship_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armship_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armship_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armship_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armsmart_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "propeller" in "armsmart_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armsmart_torpedo"
[f=0000000] Warning: WeaponDefs: Unknown tag "noradar" in "armsnipe_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "armst_gauss"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armst_gauss"
[f=0000000] Warning: Could not load sound from def: splsmed
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armtruck_4xmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armtruck_4xmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armtruck_4xmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armtruck_4xmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armtruck_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armtruck_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armtruck_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armtruck_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armtruck_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "noautorange" in "armtruck_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armtruck_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armtruck_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armtruck_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "armtruck_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armvtol_advmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armvtol_advmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armvtol_advmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armvtol_advmissile"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "armvtol_missile_a2a"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "armvtol_missile_a2a"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "armvtol_missile_a2a"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armvtol_missile_a2a"
[f=0000000] Warning: WeaponDefs: Unknown tag "randomdecay" in "armvulc_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "armvulc_weapon"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armyork_bogus_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "armyork_mobileflak"
[f=0000000] Warning: WeaponDef (armyork_mobileflak) cylinderTargetting is deprecated and will be removed in the next release (use cylinderTargeting).
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "asteroid"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "asteroid"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "asteroid"
[f=0000000] Warning: WeaponDefs: Unknown tag "cruise" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "noautorange" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "propeller" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "shakeduration" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "shakemagnitude" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "bantha_nuke"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "bantha_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "bantha_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "bantha_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "bantha_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "bantha_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "edgeefectiveness" in "banthaar_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosionart" in "banthaar_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosiongaf" in "banthaar_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosionart" in "banthaar_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosiongaf" in "banthaar_fire"
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "banthaar_fire"
