{y=221,x=3440,name="icucom",z=9658,rot=0},
{y=20,x=7680,name="pala001",z=4320,rot="south"},
{y=20,x=7680,name="pala002",z=4432,rot="south"},
{y=20,x=7680,name="pala003",z=4544,rot="south"},
{y=20,x=7680,name="pala004",z=4656,rot="south"},
{y=20,x=7680,name="pala005",z=4768,rot="south"},
{y=25,x=7680,name="pala006",z=4880,rot="south"},
{y=25,x=7680,name="pala008",z=4992,rot="south"},
{y=25,x=7680,name="pala009",z=5104,rot="south"},
{y=25,x=7792,name="pala010",z=4992,rot="south"},
{y=25,x=7792,name="pala009",z=4880,rot="south"},
{y=26,x=7904,name="pala009",z=4880,rot="south"},
{y=25,x=7904,name="pala004",z=4992,rot="south"},
{y=26,x=8016,name="pala003",z=4880,rot="south"},
{y=16,x=6240,name="fabbrica_4",z=2176,rot="south"},
{y=16,x=5680,name="fabbrica_3_bis",z=2176,rot="south"},
{y=15,x=5680,name="fabbrica_3_bis",z=2336,rot="south"},
{y=15,x=5680,name="fabbrica_3_bis",z=2496,rot="south"},
{y=15,x=5648,name="fabbrica_1",z=2640,rot="south"},
{y=15,x=5760,name="fabbrica_1",z=2640,rot="south"},
{y=15,x=5472,name="fabbrica_3_bis",z=2496,rot="south"},
{y=15,x=6080,name="lampione_dx",z=2832,rot="south"},
{y=17,x=6080,name="lampione_dx",z=3152,rot="south"},
{y=17,x=6336,name="lampione_dx",z=3200,rot="south"},
{y=17,x=6656,name="lampione_dx",z=3520,rot="south"},
{y=16,x=6928,name="lampione_dx",z=3872,rot="south"},
{y=18,x=6928,name="lampione_dx",z=4192,rot="south"},
{y=19,x=6944,name="lampione_dx",z=4512,rot="south"},
{y=21,x=7392,name="lampione_sud",z=4832,rot="south"},
{y=22,x=7072,name="lampione_sud",z=4832,rot="south"},
{y=25,x=6944,name="lampione_dx",z=4944,rot="south"},
{y=24,x=6944,name="lampione_dx",z=5264,rot="south"},
{y=28,x=6944,name="lampione_dx",z=5584,rot="south"},
{y=30,x=6944,name="lampione_dx",z=5904,rot="south"},
{y=34,x=6944,name="lampione_dx",z=6224,rot="south"},
{y=36,x=6912,name="lampione_dx",z=6480,rot="south"},
{y=37,x=6592,name="lampione_dx",z=6800,rot="south"},
{y=41,x=6272,name="lampione_dx",z=7120,rot="south"},
{y=16,x=7376,name="rock001",z=4256,rot="south"},
{y=17,x=7328,name="rock001",z=4336,rot="south"},
{y=17,x=7392,name="rock002",z=4320,rot="south"},
{y=17,x=7376,name="rock003",z=4384,rot="south"},
{y=17,x=7312,name="rock001",z=4400,rot="south"},
{y=42,x=6288,name="rock001",z=6688,rot="south"},
{y=40,x=6256,name="rock001",z=6576,rot="south"},
{y=38,x=6416,name="rock002",z=6560,rot="south"},
{y=40,x=6320,name="rock002",z=6608,rot="south"},
{y=39,x=6400,name="rock001",z=6592,rot="south"},
{y=40,x=6368,name="rock001",z=6640,rot="south"},
{y=53,x=6272,name="lampione_sud",z=8304,rot="south"},
{y=53,x=6592,name="lampione_sud",z=8496,rot="south"},
{y=53,x=6992,name="lampione_dx",z=8592,rot="south"},
{y=58,x=6992,name="lampione_dx",z=8912,rot="south"},
{y=59,x=6992,name="lampione_dx",z=9232,rot="south"},
{y=45,x=6272,name="lampione_dx",z=7440,rot="south"},
{y=49,x=6272,name="lampione_dx",z=7760,rot="south"},
{y=80,x=6512,name="crane",z=10384,rot="south"},
{y=72,x=7120,name="container_1",z=10176,rot=0},
{y=72,x=7040,name="container_1",z=10176,rot=0},
{y=71,x=6960,name="container_1",z=10176,rot=0},
{y=68,x=7024,name="fabbrica_3",z=10000,rot="south"},
{y=65,x=7024,name="fabbrica_3",z=9840,rot="south"},
{y=15,x=5504,name="fabbrica_3",z=2336,rot="south"},
{y=16,x=5840,name="fabbrica_3",z=2176,rot="south"},
{y=15,x=5840,name="fabbrica_3",z=2336,rot="south"},
{y=15,x=5840,name="fabbrica_3",z=2496,rot="south"},
{y=16,x=5952,name="fabbrica_3",z=2176,rot="south"},
{y=15,x=5952,name="fabbrica_3",z=2336,rot="south"},
{y=15,x=5952,name="fabbrica_3",z=2496,rot="south"},
